project_name,workflow_file,failure_file,error_line,error_message,failure_type,target_os,branch,job_name,run_id,description,log_file
sreeya12/java-design-patterns,maven-ci.yml,.github/workflows/maven-ci.yml,0,get: command not found,Q3,macOS,os-expansion-experiment,Build and Run Sonar analysis on JDK 21 (macos-latest),25464247324,Shell incompatibility,failure_logs\sreeya12__java-design-patterns\run_25464247324_Build_and_Run_Sonar_analysis_on_JDK_21__macos-latest_.log
sreeya12/java-design-patterns,maven-ci.yml,src/test/java/Instrumenter.java,161,Error(Instrumenter.java:161,Q4,Ubuntu,os-expansion-experiment,Build and Run Sonar analysis on JDK 21 (ubuntu-22.04),25464247324,Java stack trace,failure_logs\sreeya12__java-design-patterns\run_25464247324_Build_and_Run_Sonar_analysis_on_JDK_21__ubuntu-22.04_.log
sreeya12/java-design-patterns,maven-ci.yml,unknown,0,The scanner analysis has failed! See the logs for more details.,Q4,Ubuntu,os-expansion-experiment,Build and Run Sonar analysis on JDK 21 (ubuntu-22.04),25464247324,Maven build failure,failure_logs\sreeya12__java-design-patterns\run_25464247324_Build_and_Run_Sonar_analysis_on_JDK_21__ubuntu-22.04_.log
sreeya12/java-design-patterns,maven-ci.yml,unknown,0,"Error retrieving feature flags, using default analyzer behavior",Q6,Ubuntu,os-expansion-experiment,Build and Run Sonar analysis on JDK 21 (ubuntu-22.04),25464247324,Generic Maven error,failure_logs\sreeya12__java-design-patterns\run_25464247324_Build_and_Run_Sonar_analysis_on_JDK_21__ubuntu-22.04_.log
sreeya12/java-design-patterns,maven-ci.yml,.github/workflows/maven-ci.yml,0,The term 'sudo' is not recognized,Q3,Windows,os-expansion-experiment,Build and Run Sonar analysis on JDK 21 (windows-latest),25464247324,Shell incompatibility,failure_logs\sreeya12__java-design-patterns\run_25464247324_Build_and_Run_Sonar_analysis_on_JDK_21__windows-latest_.log
